area_type,bath,balcony,price,bhk,has_society,society_freq,availability_group,location_grouped,location_target_enc,total_sqft
Super built-up  Area,2.0,2.0,75.0,2.0,1,51.0,Ready To Move,thanisandra,82.59086206896552,1276.0
Plot  Area,4.0,2.0,105.0,6.0,0,0.0,Ready To Move,Other,172.5,600.0
Super built-up  Area,2.0,1.0,83.0,2.0,1,54.0,Ready To Move,whitefield,129.65500954198475,1216.0
Super built-up  Area,1.0,0.0,75.0,1.0,0,0.0,Q2 Possession,Other,107.5,840.0
Plot  Area,5.0,3.0,300.0,5.0,0,0.0,Ready To Move,Other,287.0,1240.0
Built-up  Area,2.0,2.0,39.0,2.0,1,8.0,Ready To Move,Other,46.583333333333336,1126.0
Plot  Area,1.0,0.0,23.0,1.0,0,0.0,Ready To Move,mysore road,68.2984,45.0
Super built-up  Area,2.0,0.0,65.0,2.0,1,1.0,Q2 Possession,raja rajeshwari nagar,66.0819496855346,1162.0
Super built-up  Area,2.0,2.0,65.0,2.0,1,5.0,Ready To Move,whitefield,129.65500954198475,1301.0
Super built-up  Area,1.0,1.0,34.0,1.0,1,9.0,Q4 Possession,devanahalli,119.83911111111112,658.0
Plot  Area,3.0,1.0,250.0,3.0,0,0.0,Ready To Move,sahakara nagar,106.49054054054054,1350.0
Super built-up  Area,3.0,2.0,280.0,3.0,1,5.0,Ready To Move,whitefield,129.65500954198475,2500.0
Built-up  Area,1.0,1.0,63.0,1.0,1,2.0,Ready To Move,1st phase jp nagar,170.7,839.907117
Built-up  Area,3.0,2.0,42.0,3.0,1,2.0,Ready To Move,chandapura,36.56774390243902,1208.51
Super built-up  Area,2.0,2.0,38.41,2.0,1,68.0,Ready To Move,raja rajeshwari nagar,66.0819496855346,1133.0
Super built-up  Area,2.0,1.0,116.0,3.0,1,2.0,Ready To Move,Other,59.0,1760.0
Super built-up  Area,2.0,1.0,25.38,2.0,1,4.0,Ready To Move,sarjapur,94.40676829268293,940.0
Super built-up  Area,2.0,2.0,57.0,2.0,1,1.0,Ready To Move,Other,88.68333333333334,1145.0
Super built-up  Area,2.0,0.0,67.73,2.0,1,38.0,Ready To Move,bannerghatta road,98.6713422818792,1302.5
Built-up  Area,5.0,1.0,550.0,4.0,1,1.0,Ready To Move,Other,550.0,3900.0
Super built-up  Area,5.0,0.0,268.5,4.0,1,2.0,Ready To Move,Other,293.25,3317.5
Built-up  Area,2.0,2.0,50.0,2.0,0,0.0,Ready To Move,Other,83.01235294117647,1300.0
Super built-up  Area,4.0,3.0,326.0,3.0,1,13.0,Ready To Move,malleshwaram,359.8803571428571,2475.0
Super built-up  Area,3.0,2.0,200.0,3.0,1,1.0,Ready To Move,6th phase jp nagar,105.38695652173914,2040.0
Built-up  Area,1.0,0.0,150.0,1.0,0,0.0,Ready To Move,hosakerehalli,179.60333333333335,1200.0
Plot  Area,4.0,1.0,190.0,4.0,0,0.0,Ready To Move,jigani,74.94698113207548,2420.0
Built-up  Area,2.0,1.0,80.0,2.0,1,6.0,Ready To Move,thubarahalli,90.685,1216.0
Super built-up  Area,2.0,1.0,110.0,3.0,1,1.0,Ready To Move,tumkur road,75.01060606060605,1459.0
Super built-up  Area,2.0,0.0,80.0,3.0,1,1.0,Ready To Move,jakkur,134.956,1622.0
Super built-up  Area,3.0,2.0,85.0,3.0,1,27.0,Ready To Move,kanakpura road,71.84865461847389,1843.0
Plot  Area,1.0,1.0,52.0,2.0,0,0.0,Ready To Move,Other,98.5,600.0
Super built-up  Area,2.0,1.0,69.5,3.0,1,2.0,Ready To Move,Other,80.05058823529413,1430.0
Plot  Area,2.0,0.0,280.0,4.0,0,0.0,Ready To Move,Other,119.52941176470588,1800.0
Super built-up  Area,2.0,2.0,57.91,3.0,1,37.0,Ready To Move,begur road,59.920405405405404,1565.0
Super built-up  Area,3.0,2.0,160.0,3.0,1,4.0,Ready To Move,Other,122.71428571428571,1670.0
Super built-up  Area,3.0,2.0,150.0,3.0,1,27.0,Ready To Move,lakshminarayana pura,97.13888888888889,1695.0
Super built-up  Area,2.0,2.0,75.0,2.0,1,1.0,Ready To Move,Other,67.5,1410.0
Super built-up  Area,2.0,3.0,42.0,2.0,0,0.0,Ready To Move,kengeri satellite town,54.590875000000004,1060.0
Built-up  Area,2.0,2.0,50.0,2.0,0,0.0,Ready To Move,sarjapur  road,120.91663588390502,1120.0
Plot  Area,2.0,0.0,50.0,2.0,0,0.0,Ready To Move,hosa road,70.76757142857143,880.0
Super built-up  Area,3.0,3.0,57.2,3.0,0,0.0,Ready To Move,dodda nekkundi,106.58413793103449,1435.0
Super built-up  Area,2.0,2.0,56.99,3.0,0,0.0,Ready To Move,Other,53.53,1425.0
Super built-up  Area,2.0,3.0,50.0,2.0,1,1.0,Ready To Move,Other,106.32352941176471,900.0
Built-up  Area,5.0,2.0,93.0,5.0,0,0.0,Q1 Possession,Other,93.0,2400.0
Built-up  Area,1.0,1.0,34.3,1.0,1,34.0,Q4 Possession,thanisandra,82.59086206896552,693.0
Plot  Area,3.0,1.0,90.0,3.0,0,0.0,Ready To Move,kengeri,61.44150684931506,600.0
Super built-up  Area,4.0,3.0,119.0,4.0,1,8.0,Q4 Possession,electronic city,55.482145328719724,2435.0
Super built-up  Area,3.0,2.0,150.0,3.0,1,7.0,Q3 Possession,iblur village,227.3913043478261,1920.0
Super built-up  Area,1.0,1.0,47.0,1.0,1,48.0,Q1 Possession,electronic city,55.482145328719724,630.0
Plot  Area,5.0,0.0,101.0,5.0,0,0.0,Ready To Move,hulimavu,85.91884615384615,1200.0
Super built-up  Area,1.0,1.0,55.0,1.0,1,8.0,Ready To Move,Other,78.38933333333333,705.0
Super built-up  Area,2.0,2.0,75.6,3.0,0,0.0,Q4 Possession,Other,93.99000000000001,1200.0
Super built-up  Area,2.0,2.0,62.0,2.0,1,2.0,Ready To Move,mahadevpura,76.51299999999999,1532.0
Super built-up  Area,2.0,1.0,93.0,2.0,1,8.0,Ready To Move,Other,116.485,1330.0
Plot  Area,3.0,1.0,210.0,4.0,0,0.0,Ready To Move,Other,143.57142857142858,1200.0
Built-up  Area,2.0,2.0,60.0,3.0,1,2.0,Ready To Move,sarjapur  road,120.91663588390502,1530.0
Super built-up  Area,2.0,2.0,42.0,2.0,0,0.0,Ready To Move,kasavanhalli,116.52607594936708,1105.0
Plot  Area,2.0,0.0,180.0,2.0,0,0.0,Ready To Move,1st phase jp nagar,170.7,1566.0
Super built-up  Area,3.0,1.0,95.1,3.0,1,5.0,Q3 Possession,harlur,110.74233766233766,1630.0
Built-up  Area,6.0,2.0,180.0,6.0,1,1.0,Ready To Move,banashankari,111.9226388888889,1200.0
Built-up  Area,2.0,3.0,75.0,3.0,1,2.0,Ready To Move,brookefield,118.48936170212765,1595.0
Super built-up  Area,2.0,2.0,53.0,2.0,1,3.0,Ready To Move,7th phase jp nagar,104.03466666666667,1000.0
Plot  Area,5.0,3.0,285.0,5.0,0,0.0,Q2 Possession,Other,285.0,2400.0
Super built-up  Area,2.0,1.0,28.88,2.0,1,56.0,Q2 Possession,electronic city phase ii,48.68390625,1000.0
Plot  Area,4.0,1.0,650.0,4.0,0,0.0,Ready To Move,Other,650.0,2360.0
Super built-up  Area,2.0,3.0,95.0,3.0,0,0.0,Ready To Move,uttarahalli,63.26853503184713,1737.0
Super built-up  Area,4.0,2.0,150.0,4.0,0,0.0,Ready To Move,Other,103.0,2100.0
Built-up  Area,6.0,1.0,145.0,8.0,0,0.0,Ready To Move,hosakerehalli,179.60333333333335,3600.0
Built-up  Area,2.0,1.0,50.0,2.0,1,4.0,Ready To Move,mysore road,68.2984,883.0
Super built-up  Area,2.0,3.0,75.0,3.0,1,1.0,Ready To Move,Other,99.51823529411764,1776.0
Super built-up  Area,2.0,1.0,37.72,3.0,1,2.0,Q4 Possession,Other,64.024375,1347.0
Super built-up  Area,2.0,2.0,55.0,3.0,1,1.0,Ready To Move,whitefield,129.65500954198475,1330.0
Plot  Area,2.0,1.0,120.0,2.0,0,0.0,Ready To Move,Other,287.0,600.0
Built-up  Area,4.0,3.0,370.0,4.0,0,0.0,Ready To Move,rajaji nagar,327.69308411214956,3730.0
Super built-up  Area,3.0,2.0,135.0,3.0,1,2.0,Ready To Move,harlur,110.74233766233766,1459.0
Super built-up  Area,5.0,2.0,135.0,4.0,1,34.0,Q4 Possession,thanisandra,82.59086206896552,2259.0
Built-up  Area,4.0,1.0,160.0,7.0,0,0.0,Ready To Move,jp nagar,126.43739436619718,2700.0
Super built-up  Area,2.0,2.0,32.25,2.0,0,0.0,Ready To Move,gubbalala,103.11769230769231,1008.0
Super built-up  Area,2.0,2.0,52.5,2.0,1,1.0,Ready To Move,Other,52.5,1200.0
Super built-up  Area,4.0,1.0,528.0,4.0,1,1.0,Q2 Possession,Other,641.125,2328.0
Plot  Area,7.0,3.0,110.0,7.0,0,0.0,Ready To Move,Other,164.1,600.0
Super built-up  Area,1.0,1.0,15.5,2.0,1,23.0,Ready To Move,electronic city,55.482145328719724,660.0
Super built-up  Area,2.0,2.0,250.0,3.0,1,21.0,Ready To Move,rajaji nagar,327.69308411214956,1800.0
Super built-up  Area,4.0,3.0,550.0,4.0,1,21.0,Ready To Move,rajaji nagar,327.69308411214956,3100.0
Super built-up  Area,2.0,0.0,50.58,2.0,1,1.0,Q3 Possession,yelahanka,86.26330952380954,1405.0
Super built-up  Area,1.0,1.0,26.0,1.0,1,16.0,Q2 Possession,yelahanka,86.26330952380954,602.0
Super built-up  Area,2.0,3.0,82.0,3.0,1,2.0,Ready To Move,jp nagar,126.43739436619718,1500.0
Built-up  Area,3.0,2.0,60.0,3.0,1,3.0,Ready To Move,Other,58.75,1539.0
Plot  Area,3.0,1.0,128.0,6.0,0,0.0,Ready To Move,Other,128.0,806.0
Super built-up  Area,2.0,1.0,53.0,3.0,1,63.0,Q4 Possession,Other,206.45749999999998,1100.0
Super built-up  Area,2.0,1.0,49.0,2.0,1,68.0,Ready To Move,raja rajeshwari nagar,66.0819496855346,1151.0
Super built-up  Area,2.0,1.0,46.0,2.0,0,0.0,Ready To Move,Other,87.0,920.0
Super built-up  Area,3.0,3.0,78.3,3.0,1,6.0,Ready To Move,Other,77.83473684210526,1350.0
Super built-up  Area,2.0,2.0,65.0,2.0,1,1.0,Ready To Move,bannerghatta road,98.6713422818792,1200.0
Super built-up  Area,2.0,1.0,78.0,2.0,0,0.0,Ready To Move,thanisandra,82.59086206896552,1265.0
Plot  Area,6.0,2.0,60.0,8.0,0,0.0,Ready To Move,Other,60.9,600.0
Super built-up  Area,3.0,2.0,93.5,3.0,1,23.0,Q2 Possession,sarjapur  road,120.91663588390502,1700.0
Built-up  Area,3.0,0.0,75.0,3.0,0,0.0,Ready To Move,ramamurthy nagar,86.1576388888889,1600.0
Built-up  Area,4.0,1.0,120.0,4.0,0,0.0,Ready To Move,Other,280.42857142857144,1550.0
Built-up  Area,3.0,3.0,125.0,3.0,1,2.0,Ready To Move,r.t. nagar,138.30555555555554,1560.0
Plot  Area,5.0,3.0,98.0,6.0,0,0.0,Q1 Possession,horamavu agara,54.119268292682925,1000.0
Plot  Area,4.0,1.0,160.0,4.0,0,0.0,Ready To Move,raja rajeshwari nagar,66.0819496855346,1200.0
Super built-up  Area,3.0,1.0,56.0,3.0,1,3.0,Ready To Move,sarjapur  road,120.91663588390502,1403.0
Super built-up  Area,3.0,1.0,94.0,3.0,1,11.0,Ready To Move,tumkur road,75.01060606060605,1416.0
Super built-up  Area,2.0,2.0,68.0,2.0,0,0.0,Ready To Move,kanakpura road,71.84865461847389,1628.0
Plot  Area,4.0,2.0,211.0,4.0,0,0.0,Ready To Move,Other,216.994,1660.4
Super built-up  Area,3.0,2.0,125.0,3.0,1,17.0,Ready To Move,7th phase jp nagar,104.03466666666667,1680.0
Super built-up  Area,3.0,3.0,62.0,3.0,1,1.0,Ready To Move,doddathoguru,44.323793103448274,1595.0
Super built-up  Area,2.0,3.0,95.0,3.0,1,2.0,Ready To Move,kanakpura road,71.84865461847389,1507.0
Super built-up  Area,3.0,2.0,288.0,3.0,1,2.0,Ready To Move,frazer town,246.73472222222225,2560.0
Super built-up  Area,3.0,1.0,133.0,3.0,1,16.0,Ready To Move,hennur road,103.92855704697986,1949.0
Plot  Area,2.0,1.0,175.0,2.0,0,0.0,Ready To Move,btm 2nd stage,156.0344827586207,800.0
Built-up  Area,2.0,1.0,28.88,2.0,1,56.0,Q4 Possession,electronic city phase ii,48.68390625,1000.0
Super built-up  Area,2.0,1.0,50.0,2.0,0,0.0,Q2 Possession,Other,50.0,905.0
Super built-up  Area,3.0,2.0,245.0,3.0,1,14.0,Ready To Move,hosakerehalli,179.60333333333335,2480.0
Super built-up  Area,3.0,2.0,200.0,3.0,0,0.0,Ready To Move,Other,200.0,1495.0
Super built-up  Area,3.0,3.0,105.0,3.0,0,0.0,Ready To Move,Other,78.10588235294118,1605.0
Built-up  Area,2.0,1.0,73.0,2.0,0,0.0,Ready To Move,bommanahalli,61.07971428571428,1290.0
Super built-up  Area,2.0,1.0,60.0,2.0,1,9.0,Ready To Move,yelahanka,86.26330952380954,1100.0
Super built-up  Area,6.0,0.0,92.0,6.0,0,0.0,Ready To Move,Other,128.15384615384616,2100.0
Super built-up  Area,2.0,1.0,49.8,2.0,0,0.0,Ready To Move,electronics city phase 1,55.10181818181818,995.0
Plot  Area,2.0,1.0,55.0,2.0,0,0.0,Ready To Move,Other,226.4075,500.0
Super built-up  Area,4.0,3.0,598.0,4.0,1,26.0,Ready To Move,rajaji nagar,327.69308411214956,3526.0
Super built-up  Area,2.0,2.0,47.0,3.0,1,2.0,Ready To Move,gottigere,61.017291666666665,1425.0
Super built-up  Area,2.0,2.0,55.0,3.0,0,0.0,Ready To Move,Other,67.66666666666667,1455.0
Super built-up  Area,1.0,1.0,23.0,1.0,1,4.0,Ready To Move,Other,45.46,550.0
Plot  Area,4.0,2.0,210.0,4.0,0,0.0,Ready To Move,Other,128.15384615384616,7000.0
Super built-up  Area,3.0,0.0,130.0,5.0,0,0.0,Ready To Move,Other,93.99000000000001,4000.0
Super built-up  Area,2.0,1.0,53.0,2.0,0,0.0,Q2 Possession,Other,51.900000000000006,1060.0
Super built-up  Area,2.0,2.0,75.0,3.0,0,0.0,Ready To Move,Other,67.25285714285714,1080.0
Built-up  Area,3.0,2.0,125.0,3.0,1,2.0,Ready To Move,hbr layout,131.3,1783.0
Super built-up  Area,2.0,2.0,90.0,3.0,1,33.0,Q1 Possession,haralur road,96.60401960784314,1520.0
Super built-up  Area,2.0,1.0,55.0,2.0,1,1.0,Ready To Move,sarjapur  road,120.91663588390502,1060.0
Super built-up  Area,2.0,1.0,54.35,2.0,1,68.0,Ready To Move,raja rajeshwari nagar,66.0819496855346,1267.0
Super built-up  Area,2.0,2.0,55.0,2.0,0,0.0,Ready To Move,whitefield,129.65500954198475,1155.0
Built-up  Area,3.0,2.0,180.0,3.0,1,6.0,Ready To Move,Other,139.33333333333334,2500.0
Super built-up  Area,2.0,1.0,65.0,2.0,1,1.0,Ready To Move,bannerghatta road,98.6713422818792,1240.0
Super built-up  Area,3.0,2.0,78.0,3.0,1,2.0,Ready To Move,Other,51.900000000000006,1570.0
Super built-up  Area,2.0,1.0,45.9,2.0,0,0.0,Ready To Move,Other,46.62769230769231,1019.0
Super built-up  Area,3.0,3.0,76.0,2.0,1,3.0,Ready To Move,whitefield,129.65500954198475,1355.0
Super built-up  Area,3.0,2.0,110.0,3.0,0,0.0,Ready To Move,Other,110.0,1537.0
Super built-up  Area,5.0,3.0,226.0,4.0,1,13.0,Ready To Move,whitefield,129.65500954198475,4075.0
Super built-up  Area,3.0,3.0,52.45,3.0,1,68.0,Ready To Move,raja rajeshwari nagar,66.0819496855346,1550.0
Built-up  Area,2.0,1.0,50.0,2.0,1,2.0,Ready To Move,raja rajeshwari nagar,66.0819496855346,1100.0
Super built-up  Area,3.0,2.0,150.0,3.0,1,4.0,Ready To Move,Other,122.71428571428571,1750.0
Super built-up  Area,2.0,2.0,71.0,2.0,1,4.0,Q1 Possession,9th phase jp nagar,89.58372093023256,1466.0
Super built-up  Area,3.0,2.0,72.5,3.0,1,10.0,Ready To Move,rachenahalli,72.69208333333334,1550.0
Super built-up  Area,4.0,3.0,102.0,3.0,1,23.0,Ready To Move,akshaya nagar,85.35081967213114,2300.0
Super built-up  Area,1.0,1.0,22.5,1.0,1,7.0,Q3 Possession,kengeri,61.44150684931506,540.0
Plot  Area,3.0,2.0,130.0,3.0,1,1.0,Ready To Move,8th phase jp nagar,78.609375,950.0
Built-up  Area,7.0,1.0,250.0,7.0,0,0.0,Ready To Move,Other,185.0,2800.0
Super built-up  Area,2.0,3.0,48.0,2.0,0,0.0,Ready To Move,Other,53.970000000000006,1020.0
Super built-up  Area,3.0,2.0,501.0,3.0,1,2.0,Ready To Move,Other,824.3846153846154,2880.0
Super built-up  Area,4.0,2.0,165.0,3.0,1,18.0,Ready To Move,hebbal,164.6091304347826,1987.0
Super built-up  Area,2.0,1.0,75.0,2.0,1,7.0,Ready To Move,hoodi,91.65022727272728,1305.0
Built-up  Area,3.0,1.0,125.0,4.0,0,0.0,Ready To Move,sarjapur,94.40676829268293,2100.0
Built-up  Area,2.0,1.0,32.5,2.0,0,0.0,Q4 Possession,electronic city,55.482145328719724,1125.0
Super built-up  Area,2.0,2.0,49.5,2.0,0,0.0,Ready To Move,horamavu banaswadi,67.32,1225.0
Super built-up  Area,2.0,1.0,55.5,2.0,0,0.0,Ready To Move,hennur,75.1011224489796,1255.0
Super built-up  Area,2.0,1.0,90.0,2.0,0,0.0,Ready To Move,Other,90.0,1191.0
Plot  Area,6.0,2.0,303.0,6.0,0,0.0,Ready To Move,uttarahalli,63.26853503184713,3600.0
Built-up  Area,2.0,1.0,33.64,2.0,0,0.0,Q4 Possession,electronic city,55.482145328719724,1165.0
Super built-up  Area,2.0,1.0,35.11,2.0,0,0.0,Q2 Possession,Other,63.672000000000004,865.0
Super built-up  Area,2.0,2.0,88.0,3.0,0,0.0,Ready To Move,nagarbhavi,117.20333333333333,1850.0
Super built-up  Area,1.0,1.0,17.0,2.0,1,5.0,Ready To Move,Other,69.4,497.0
Super built-up  Area,2.0,2.0,89.0,2.0,1,25.0,Q1 Possession,hennur road,103.92855704697986,1232.0
Super built-up  Area,3.0,3.0,85.73,3.0,1,34.0,Q4 Possession,thanisandra,82.59086206896552,1732.0
Super built-up  Area,2.0,1.0,100.0,3.0,1,13.0,Ready To Move,yelahanka,86.26330952380954,1614.0
Built-up  Area,1.0,1.0,22.0,2.0,1,2.0,Ready To Move,magadi road,77.6266,600.0
Super built-up  Area,4.0,2.0,155.0,3.0,1,39.0,Ready To Move,thigalarapalya,157.65687499999999,2072.0
Super built-up  Area,2.0,2.0,34.0,2.0,1,10.0,Ready To Move,electronic city,55.482145328719724,919.0
Built-up  Area,4.0,1.0,90.0,4.0,0,0.0,Ready To Move,Other,90.0,2100.0
Built-up  Area,3.0,1.0,54.0,4.0,0,0.0,Ready To Move,Other,72.92307692307692,672.0
Built-up  Area,6.0,3.0,110.0,8.0,0,0.0,Ready To Move,Other,94.33333333333333,800.0
Plot  Area,3.0,1.0,150.0,3.0,1,4.0,Ready To Move,Other,69.4,1200.0
Super built-up  Area,5.0,2.0,250.0,4.0,1,3.0,Ready To Move,Other,151.0,2849.0
Built-up  Area,2.0,2.0,42.0,2.0,1,3.0,Ready To Move,Other,53.114285714285714,1000.0
Super built-up  Area,2.0,1.0,75.0,2.0,1,54.0,Ready To Move,whitefield,129.65500954198475,1216.0
Super built-up  Area,4.0,2.0,154.0,4.0,1,22.0,Ready To Move,lingadheeranahalli,115.34826086956522,2245.0
Super built-up  Area,3.0,1.0,125.0,3.0,1,3.0,Q1 Possession,bannerghatta road,98.6713422818792,1476.0
Super built-up  Area,3.0,2.0,130.0,3.0,1,19.0,Ready To Move,ambedkar nagar,190.72413793103448,1852.0
Super built-up  Area,2.0,2.0,47.0,2.0,0,0.0,Q3 Possession,Other,90.5,1225.0
Super built-up  Area,3.0,1.0,67.12,3.0,1,1.0,Ready To Move,panathur,73.62040816326531,1597.0
Super built-up  Area,4.0,3.0,160.0,3.0,1,9.0,Q4 Possession,jakkur,134.956,2423.0
Super built-up  Area,2.0,1.0,90.0,2.0,1,6.0,Q1 Possession,marathahalli,102.42970414201183,1152.0
Super built-up  Area,3.0,2.0,133.0,3.0,0,0.0,Ready To Move,harlur,110.74233766233766,1762.0
Plot  Area,3.0,2.0,92.0,3.0,1,3.0,Ready To Move,kammasandra,38.054482758620686,1400.0
Plot  Area,6.0,3.0,400.0,6.0,0,0.0,Ready To Move,Other,148.29999999999998,2400.0
Super built-up  Area,2.0,2.0,40.17,2.0,1,68.0,Ready To Move,raja rajeshwari nagar,66.0819496855346,1185.0
Super built-up  Area,3.0,2.0,108.0,3.0,1,7.0,Q2 Possession,yelahanka,86.26330952380954,1890.0
Super built-up  Area,2.0,2.0,58.0,3.0,0,0.0,Ready To Move,Other,54.38533333333333,1247.0
Plot  Area,4.0,2.0,104.0,8.0,0,0.0,Ready To Move,Other,207.5,700.0
Plot  Area,6.0,3.0,275.0,6.0,0,0.0,Ready To Move,Other,144.81578947368422,1000.0
Super built-up  Area,2.0,2.0,59.99,2.0,0,0.0,Ready To Move,bellandur,92.00365591397849,1201.0
Built-up  Area,2.0,2.0,40.0,2.0,1,1.0,Q1 Possession,Other,39.806,830.0
Built-up  Area,2.0,1.0,30.29,2.0,1,56.0,Q3 Possession,electronic city phase ii,48.68390625,1165.0
Super built-up  Area,1.0,2.0,55.0,2.0,1,1.0,Ready To Move,bommanahalli,61.07971428571428,1100.0
Built-up  Area,2.0,2.0,93.0,3.0,1,5.0,Ready To Move,9th phase jp nagar,89.58372093023256,1890.0
Super built-up  Area,3.0,2.0,60.0,3.0,1,2.0,Ready To Move,Other,55.726,1685.0
Super built-up  Area,4.0,3.0,349.0,4.0,1,7.0,Ready To Move,Other,241.87357142857144,3131.0
Super built-up  Area,2.0,1.0,43.0,2.0,0,0.0,Ready To Move,battarahalli,74.81875000000001,1165.0
Super built-up  Area,2.0,1.0,45.0,2.0,1,3.0,Ready To Move,Other,38.0,827.0
Plot  Area,2.0,0.0,48.0,3.0,0,0.0,Ready To Move,Other,48.0,396.0
Plot  Area,4.0,3.0,179.0,4.0,0,0.0,Ready To Move,uttarahalli,63.26853503184713,1200.0
Built-up  Area,1.0,0.0,26.0,1.0,1,1.0,Ready To Move,electronics city phase 1,55.10181818181818,635.0
Built-up  Area,4.0,3.0,380.0,4.0,1,54.0,Ready To Move,whitefield,129.65500954198475,4000.0
Super built-up  Area,2.0,1.0,50.0,2.0,1,1.0,Ready To Move,Other,102.11111111111111,1050.0
Built-up  Area,4.0,3.0,76.0,5.0,0,0.0,Ready To Move,Other,182.0,600.0
Super built-up  Area,3.0,2.0,168.0,3.0,0,0.0,Q2 Possession,jakkur,134.956,1819.18
Plot  Area,3.0,3.0,125.0,3.0,0,0.0,Ready To Move,kanakapura,59.73448717948718,1500.0
Super built-up  Area,2.0,2.0,57.0,3.0,0,0.0,Ready To Move,Other,50.79923076923077,1500.0
Super built-up  Area,4.0,3.0,470.0,3.0,1,1.0,Ready To Move,Other,346.7433333333333,2850.0
Super built-up  Area,3.0,3.0,72.0,3.0,1,1.0,Ready To Move,raja rajeshwari nagar,66.0819496855346,1751.0
Super built-up  Area,6.0,1.0,1102.0,4.0,1,2.0,Q1 Possession,Other,641.125,4750.0
Super built-up  Area,2.0,1.0,40.89,2.0,1,17.0,Q2 Possession,bommasandra,50.35054054054054,1020.0
Super built-up  Area,2.0,1.0,43.5,2.0,1,2.0,Ready To Move,thanisandra,82.59086206896552,1148.0
Plot  Area,6.0,2.0,650.0,6.0,0,0.0,Ready To Move,basavangudi,180.6290322580645,1754.0
Plot  Area,3.0,2.0,1100.0,3.0,0,0.0,Ready To Move,Other,285.57142857142856,4273.0
Super built-up  Area,2.0,1.0,49.27,2.0,0,0.0,Ready To Move,Other,65.03444444444443,1060.0
Built-up  Area,2.0,2.0,60.0,2.0,0,0.0,Ready To Move,haralur road,96.60401960784314,1300.0
Built-up  Area,4.0,0.0,100.0,4.0,0,0.0,Ready To Move,hormavu,71.35376712328767,3000.0
Super built-up  Area,2.0,2.0,65.0,2.0,1,4.0,Ready To Move,bellandur,92.00365591397849,1325.0
Super built-up  Area,2.0,2.0,61.0,2.0,1,3.0,Ready To Move,Other,58.25,1261.0
Super built-up  Area,2.0,2.0,46.0,2.0,0,0.0,Ready To Move,Other,81.875,1100.0
Built-up  Area,2.0,1.0,33.0,2.0,0,0.0,Ready To Move,ramamurthy nagar,86.1576388888889,700.0
Super built-up  Area,2.0,2.0,135.0,3.0,1,17.0,Ready To Move,7th phase jp nagar,104.03466666666667,1675.0
Plot  Area,4.0,2.0,190.0,4.0,0,0.0,Ready To Move,Other,185.0,3400.0
Super built-up  Area,5.0,3.0,388.0,4.0,1,8.0,Q3 Possession,Other,367.73333333333335,3260.0
Super built-up  Area,2.0,2.0,56.0,2.0,0,0.0,Ready To Move,Other,63.5,1180.0
Built-up  Area,2.0,2.0,45.0,2.0,1,2.0,Ready To Move,uttarahalli,63.26853503184713,1160.0
Super built-up  Area,3.0,2.0,105.0,4.0,0,0.0,Ready To Move,kasavanhalli,116.52607594936708,1863.0
Super built-up  Area,3.0,2.0,149.0,3.0,1,3.0,Ready To Move,sahakara nagar,106.49054054054054,1914.0
Super built-up  Area,3.0,2.0,79.0,3.0,1,1.0,Ready To Move,Other,99.51823529411764,1458.0
Plot  Area,4.0,2.0,115.0,5.0,0,0.0,Ready To Move,Other,74.52625,1200.0
Built-up  Area,2.0,1.0,40.0,2.0,0,0.0,Ready To Move,babusapalaya,53.1004,1105.0
Super built-up  Area,5.0,3.0,220.0,3.0,1,3.0,Ready To Move,hulimavu,85.91884615384615,3035.0
Plot  Area,6.0,3.0,160.0,6.0,0,0.0,Ready To Move,bannerghatta road,98.6713422818792,1200.0
Super built-up  Area,3.0,2.0,90.0,3.0,1,23.0,Ready To Move,akshaya nagar,85.35081967213114,1662.0
Super built-up  Area,3.0,2.0,86.0,3.0,1,13.0,Ready To Move,yelahanka,86.26330952380954,1556.0
Super built-up  Area,2.0,2.0,50.0,2.0,1,20.0,Ready To Move,jigani,74.94698113207548,918.0
Super built-up  Area,2.0,1.0,98.0,3.0,1,6.0,Ready To Move,sarjapur  road,120.91663588390502,1455.0
Super built-up  Area,2.0,1.0,70.0,2.0,0,0.0,Ready To Move,Other,105.6,1205.0
Super built-up  Area,2.0,1.0,65.0,2.0,0,0.0,Ready To Move,Other,133.0,1194.0
Plot  Area,2.0,0.0,75.0,2.0,0,0.0,Ready To Move,Other,101.91666666666667,1200.0
Built-up  Area,2.0,2.0,52.0,3.0,1,1.0,Ready To Move,bannerghatta road,98.6713422818792,1100.0
Super built-up  Area,3.0,2.0,48.87,3.0,1,2.0,Ready To Move,sarjapur  road,120.91663588390502,1405.0
Super built-up  Area,2.0,1.0,56.0,2.0,1,10.0,Ready To Move,subramanyapura,67.14750000000001,929.0
Built-up  Area,5.0,2.0,341.0,4.0,1,3.0,Ready To Move,frazer town,246.73472222222225,3436.0
Super built-up  Area,4.0,3.0,92.0,4.0,0,0.0,Ready To Move,8th phase jp nagar,78.609375,2100.0
Super built-up  Area,2.0,1.0,40.47,2.0,1,14.0,Q3 Possession,channasandra,62.578421052631576,1065.0
Super built-up  Area,3.0,0.0,84.29,3.0,1,63.0,Q4 Possession,bannerghatta road,98.6713422818792,1532.5
Plot  Area,6.0,3.0,150.0,6.0,0,0.0,Ready To Move,kengeri,61.44150684931506,1500.0
Plot  Area,5.0,2.0,99.0,5.0,0,0.0,Ready To Move,Other,99.0,1200.0
